MGI:88127	B2m 	Homozyotes lacking B2m appear normal, but have no detectable MHC class I antigen on their cells and are deficient in CD4- CD8+ T cells which mediate cytotoxic T cell function.
MGI:88128	 ba 	Hair follicles of homozygotes contain keratinized globular masses; hair appearance is delayed, thin, and quickly shed, such that by 6 months animals are entirely naked.
MGI:99827	 baf	Homozyogous deletion of baf results in runting during postnatal development.
MGI:108015	 Bapx1	Homozygous null mutants are perinatal lethal, lack a spleen, and display skeletal dysplasia of the vertebral column and cranium.
MGI:99702	 Bax	Homozygous null mutants display hyperplasia of thymocytes and B cells, reproductive failure with abnormal germ cells and gonadal morphology, and reduced apoptosis in the CNS.
MGI:88134	 bc	Homozygous mutants are smaller than littermates, have a severe tremor, bouncy gait, and reduced fertility.
MGI:1337994	 Bcl10	About one-third of homozygous null mutants die in utero with exencephaly, the surviving mutants displaying severe immunodeficiency, including absence of antigen receptor-induced NFKB activation in lymphocytes.
MGI:88138	 Bcl2	Homozygous null mutants show pleiotropic abnormalities including small size, increased postnatal mortality, polycycstic kidneys, apoptotic involution of thymus and spleen, graying in the second hair follicle cycle, and reduced numbers of motor, sympathetic and sensory neurons.
MGI:102687	 Bcl2a1a	Homozygous null mutants show enhanced spontaneous apoptosis of neutrophils, while both heterozygous and homozygous null mutants lack LPS-induced neutrophil apoptosis inhibition.
MGI:88139	 Bcl2l	Homozygous null mutants die at embryonic day 13 with extensive apoptotic cell death, hypomorphic mutants have severe reproductive defects due to abnormal germ cell development.
MGI:1197519	 Bcl2l11	Consistent with this gene's role in hematopoietic homeostatsis, homozygous null mutants accumulate lymphoid and myeloid cells and succumb to autoimmune kidney disease.
MGI:108052	 Bcl2l2	Homozygous null mutants are male sterile with progressive loss of germ cells, Sertoli cells and Leydig cells beginning at puberty.
MGI:88140	 Bcl3	Homozygous null mutants have severe humoral immune responses defects, lack germinal centers in their spleens, and show increased susceptibility to pathogens.
MGI:107187	 Bcl6	Homozygous null mutants develop myocarditis and pulmonary vasculitis, show impaired germinal center formation in the spleen, and display T helper 2 cell hyperimmune responsiveness. 
MGI:88141	 Bcr	Homozygous null mutants are defective in hormonal and behavioral stress response regulation and prone to septic shock, whereas chimeric mice carrying a BCR-ABL fusion mutation mimicking human Philadelphia chromosome develop chronic myeloid leukemia.
MGI:88142	 bd	Homozygous mutants are characterized by low weight, runting, slow breathing, moderate emphysema, and early death.
