MGI_ID	BACKGROUND	GENE SYMBOL	STRAIN TYPE	TJL #	SPECIES	Std/Nonstd
17931	((129/Sv x NMRI)F2 x (C57BL/6 x RSV))F1-Sd/+					Standard
12924	((B10.LP x 129) x B10.129(20M))F1		F1 hybrid			Standard
29841	((B6(CAST-H19 x C57BL/6J))F1					Nonstandard
16353	((BALB/cHeA x (BALB/cHeA x C3H/HeA))F1		F1 hybrid			Standard
14281	((C3H/HeH x 101/H)F1 x M. spretus))F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
17472	((C3H/HeJ x (Lp/+ x (C57BL/6Ks x C3H/HeJ-Fasl<gld>) x C3H/HeJ-Fasl<gld>))		F1 hybrid			Standard
29905	((C57BL/6J x B6(CAST-H19))F1					Nonstandard
29558	((C57BL/6J x CBA)F1 x 129/Sv))F1		F1 hybrid			Standard
26236	((C57BL/6J-le Pdeb<rd> Unc5h3<rcm>/Unc5h3<rcm> x MOLD/Rk)F2 x (B6C3Fe-a/a Va<J>/+))F1	Pdeb, Unc5h3, a, Va	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
17579	((C57BL/6J-le Pdeb<rd> Unc5h3<rcm>/Unc5h3<rcm> x MOLD/Rk)F2 x (B6C3Fe-a/a Va<J>/+))F1-Va/+	Pdeb, Unc5h3, a, Va	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
29888	((C57BL/6J-le Pdeb<rd> rcm/rcm x MOLD/Rk)F2 x (B6C3Fe-a/a Va<J>/+))F1	le, Pdeb, rcm, a, Va	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
17471	((Lp/+ x (C57BL/6Ks x C3H/HeJ-Fasl<gld>) x C3H/HeJ-Fasl<gld>))-Lp/+	Lp, Fasl	F1 hybrid			Standard
29596	((Ph<e> x PWK)F1 x (Ph<e>+/+ Kit<w>))F1	Ph, Kit	F1 hybrid			Standard
29145	(+ Gus<a> Mor1<b> STOCK x CBA/J)F1	Gus, Mor1	F1 hybrid			Standard
12718	(+ Gus<a> Mor1<b> x CBA/J)F1	Gus, Mor1	F1 hybrid			Standard
12755	(101/H x C57BL/LiA)F1		F1 hybrid			Standard
13383	(101/H x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
25995	(101/Rl x C3Hf/R1)F1		F1 hybrid			Standard
29778	(101/Rl x C3Hf/Rl)F1		F1 hybrid			Standard
29359	(102 x C3H)F1-Mgf<Sl-1Neu>/Mgf<Sl-1Neu>	Mgf	F1 hybrid			Standard
29358	(102 x C3H)F1-Mgf<Sl-2Neu>/Mgf<Sl-2Neu>	Mgf	F1 hybrid			Standard
28944	(102 x C3H)F1-Mgf<Sl-3Neu>/Mgf<Sl-3Neu>	Mgf	F1 hybrid			Standard
5584	(102/El x C3H/El)F1		F1 hybrid			Standard
28285	(102/El x C3H/El)F1 or Stock Cat3<vao>	Cat3				Nonstandard
12779	(11G x SEC)F1					Nonstandard
14416	(129 x AKR)F1		F1 hybrid			Standard
28664	(129 x C57BL/6)F1		F1 hybrid			Standard
28711	(129 x t<Ae5>)F1	t	F1 hybrid			Standard
17562	(129.AKR-bs/bs x MOLF/Ei)F1	bs	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
12638	(129.GIX+ x C57BL/6)F1		F1 hybrid			Standard
