MGI ID of Gene	Gene Symbol	MGI ID of Allele 1	Allele 1 Symbol	MGI ID of Allele 2	Allele 2 Symbol	Strain	PhenoSlim term	J: (without the J:)	Qualifying Evidence Code	Notes (optional)				survival: embryonic lethality
MGI:109632	Rax	MGI:1856862	Rax<ey1>	MGI:1856862	Rax<ey1>	ZRDCT/Ch	eye: visual defects	229	IMP					survival: perinatal lethality
MGI:109632	Rax	MGI:1856862	Rax<ey1>	MGI:2152536	Rax<+>	ZRDCT/Ch	no obvious phenotype: no defect detected	229	IMP					survival: perinatal lethality
MGI:109632	Rax	MGI:2152531	Rax<tm1Mjam>	MGI:2152531	Rax<tm1Mjam>	Not Specified	eye: visual defects	40830	IMP	embryogenesis: extraembryonic tissue dysmorphology				survival: postnatal lethality
MGI:109632	Rax	MGI:2152531	Rax<tm1Mjam>	MGI:2152536	Rax<+>	Not Specified	no obvious phenotype: no defect detected	40830	IMP					survival: premature death
MGI:98483	Abcb2	MGI:1858161	Abcb2<tm1Hpl>	MGI:1858161	Abcb2<tm1Hpl>	either: (involves: 129S2/SvPas # 129/Ola) or (involves: 129S2/SvPas # FVB)	immune system: no defect detected	60782	IMP	strain note				growth/weight abnormality: embryonic
MGI:87872	Acc	MGI:1856662	Acc	MGI:1856662	Acc	Involves: 101 # C3H	survival: embryonic lethality	6686	IMP					growth/weight abnormality: postnatal
MGI:87872	Acc	MGI:1856662	Acc	MGI:2158232	Acc<+>	Involves: 101 # C3H	eye: corneal or lens defect	6686	IMP					eye: visual defects
MGI:87996	Alm	MGI:1856649	Alm	MGI:1856649	Alm	Involves: 101 # C3H	survival: embryonic lethality	6686	IMP					eye: dysmorphology
MGI:87996	Alm	MGI:1856649	Alm	MGI:2158233	Alm<+>	Involves: 101 # C3H	eye: no defect detected	6686	IMP					eye: corneal or lens defect
MGI:87996	Alm	MGI:1856649	Alm	MGI:2158233	Alm<+>	Involves: 101 # C3H	coat: color anomalies	6686	IMP					eye: no defect detected
MGI:87996	Alm	MGI:1856649	Alm	MGI:2158233	Alm<+>	Involves: 101 # C3H	growth/weight abnormality: postnatal	6686	IMP					coat: hair growth defects
MGI:87998	Alox12	MGI:1932927	Alox12<tm1Fun>	MGI:1932927	Alox12<tm1Fun>	Involves: 129S2/SvPas # C57BL/6	skin: texture/condition anomalies	46896	IMP					coat: hair texture defects
MGI:87998	Alox12	MGI:1932927	Alox12<tm1Fun>	MGI:1932927	Alox12<tm1Fun>	Involves: 129S2/SvPas # C57BL/6	metabolism: other metabolic defect	46896	IMP					coat: color anomalies
MGI:1306796	Apaf1	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	Involves: 129S1/Sv # 129X1/SvJ # NMRI	skeletal: craniofacial defects	40076	IMP					coat: hair follicle structure/orientation anomalies
MGI:1306796	Apaf1	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	Involves: 129S1/Sv # 129X1/SvJ # NMRI	survival: embryonic lethality	40076	IMP					coat: no defect detected
MGI:1306796	Apaf1	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	Involves: 129S1/Sv # 129X1/SvJ # NMRI	skeletal: extremities defects	40076	IMP					skin: pigmentation anomalies
MGI:1306796	Apaf1	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	Involves: 129S1/Sv # 129X1/SvJ # NMRI	eye: corneal or lens defect	40076	IMP					skin: texture/condition anomalies
MGI:1306796	Apaf1	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	Involves: 129S1/Sv # 129X1/SvJ # NMRI	central nervous system: brain dysmorphology	40076	IMP					skin: no defect detected
MGI:1306796	Apaf1	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	MGI:1857868	Apaf1<Gt(IRESßgeo)XIX18Pgr>	Involves: 129S1/Sv # 129X1/SvJ # NMRI	other aberrant phenotype	40076	IMP					vibrissae: shape/orientation defects
MGI:1306796	Apaf1	MGI:1860245	Apaf1<tm1Her>	MGI:1860245	Apaf1<tm1Her>	Involves: 129S6/SvEv	survival: perinatal lethality	60409	IMP					vibrissae: no defect detected
MGI:1306796	Apaf1	MGI:1860245	Apaf1<tm1Her>	MGI:1860245	Apaf1<tm1Her>	Involves: 129S6/SvEv	central nervous system: neural tube defects	60409	IMP					extremities: limb dysmorphology
MGI:1306796	Apaf1	MGI:1860245	Apaf1<tm1Her>	MGI:1860245	Apaf1<tm1Her>	Involves: 129S6/SvEv	skeletal: craniofacial defects	60409	IMP					extremities: digit dysmorphology
MGI:1306796	Apaf1	MGI:1860245	Apaf1<tm1Her>	MGI:1860245	Apaf1<tm1Her>	Involves: 129S6/SvEv	neurological/behavioral: motor capabilities/coordination/movement anomalies	60409	IMP					extremities: tail dysmorphology
MGI:1306796	Apaf1	MGI:1860245	Apaf1<tm1Her>	MGI:1860245	Apaf1<tm1Her>	Involves: 129S6/SvEv	reproductive system: fertility/fecundity anomalies	60409	IMP					extremities: no defect detected
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6 	survival: perinatal lethality	49841	IMP					teeth: tooth dysmorphology
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6 	central nervous system: neural tube defects	49841	IMP					teeth: no defect detected
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6 	central nervous system: brain dysmorphology	49841	IMP					ears: auditory defects/deafness
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # C57BL/6 	skeletal: extremities defects	49841	IMP					ears: dysmorphology
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # CD1	survival: perinatal lethality	49841	IMP					ears: no defect detected
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # CD1	central nervous system: neural tube defects	49841	IMP					musculature: muscle dysmorphology
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # CD1	central nervous system: brain dysmorphology	49841	IMP					musculature: physiological defects
MGI:1306796	Apaf1	MGI:1928692	Apaf1<tm1Mak>	MGI:1928692	Apaf1<tm1Mak>	involves: 129P2/OlaHsd # CD1	skeletal: extremities defects	49841	IMP					musculature: no defect detected
MGI:88048	Apo	MGI:1856666	Apo	MGI:1856666	Apo	Involves: 101 # C3H	survival: embryonic lethality	65314	IMP					skeletal: osteogenesis/developmental anomalies
MGI:88048	Apo	MGI:1856666	Apo	MGI:2158236	Apo<+>	Involves: 101 # C3H	survival: embryonic lethality	65314	IMP					
MGI:88048	Apo	MGI:1856666	Apo	MGI:2158236	Apo<+>	Involves: 101 # C3H	eye: corneal or lens defect	65314	IMP					skeletal: axial defects
MGI:88048	Apo	MGI:1856666	Apo	MGI:2158236	Apo<+>	Involves: 101 # C3H	neurological/behavioral: motor capabilities/coordination/movement anomalies	65314	IMP					skeletal: extremities defects
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	either: 129S6/SvEvTac or (involves: NIH Black Swiss	neurological/behavioral: motor capabilities/coordination/movement anomalies	34193	IMP	strain note				skeletal: craniofacial defects
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	129S6/SvEvTac 	growth/weight abnormality: postnatal	34193	IMP					
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	129S6/SvEvTac 	reproductive system: fertility/fecundity anomalies	34193	IMP					
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	129S6/SvEvTac 	reproductive system: dysmorphology	34193	IMP					
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	129S6/SvEvTac 	tumors: increased incidence	34193	IMP					
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	129S6/SvEvTac 	immune system: lymphoid development/ T lymphocyte defects	34193	IMP					
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	129S6/SvEvTac 	immune system: other dysmorphology	34193	IMP					
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	involves: 129S6/SvEvTac # NIH Black Swiss	growth/weight abnormality: postnatal	34193	IMP					skeletal: no defect detected
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	involves: 129S6/SvEvTac # NIH Black Swiss	reproductive system: fertility/fecundity anomalies	34193	IMP					neurological/behavioral: aggression
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	involves: 129S6/SvEvTac # NIH Black Swiss	reproductive system: dysmorphology	34193	IMP					neurological/behavioral: conditioning defect
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	involves: 129S6/SvEvTac # NIH Black Swiss	tumors: increased incidence	34193	IMP					neurological/behavioral: learning/memory impairment
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	involves: 129S6/SvEvTac # NIH Black Swiss	immune system: lymphoid development/ T lymphocyte defects	34193	IMP					neurological/behavioral: seizures/epilepsy
MGI:107202	Atm	MGI:1857132	Atm<tm1Awb>	MGI:1857132	Atm<tm1Awb>	involves: 129S6/SvEvTac # NIH Black Swiss	immune system: other dysmorphology	34193	IMP					neurological/behavioral: fear/anxiety
MGI:107202	Atm	MGI:1926343	Atm<tm1Bal>	MGI:1926343	Atm<tm1Bal>	involves: 129S4/SvJae	growth/weight abnormality: postnatal	42324	IMP					neurological/behavioral: motor capabilities/coordination/movement anomalies
MGI:107202	Atm	MGI:1926343	Atm<tm1Bal>	MGI:1926343	Atm<tm1Bal>	involves: 129S4/SvJae	reproductive system: fertility/fecundity anomalies	42324	IMP					neurological/behavioral: sensory capabilities/reflexes/nociception abnormalities
MGI:107202	Atm	MGI:1926343	Atm<tm1Bal>	MGI:1926343	Atm<tm1Bal>	involves: 129S4/SvJae	immune system: lymphoid development/ T lymphocyte defects	42324	IMP					neurological/behavioral: maternal behavior anomalies
MGI:107202	Atm	MGI:1926343	Atm<tm1Bal>	MGI:1926343	Atm<tm1Bal>	involves: 129S4/SvJae	tumors: increased incidence	42324	IMP					neurological/behavioral: feeding/drinking preference anomalies
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	survival: premature death	61201	IMP	strain note				neurological/behavioral: sleep pattern/circadian rhythm anomalies
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	growth/weight abnormality: postnatal	61201	IMP					neurological/behavioral: other anomalies
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	reproductive system: fertility/fecundity anomalies	61201	IMP					neurological/behavioral: no defect detected
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	central nervous system: brain dysmorphology	61201	IMP					metabolism: abnormal lipid homeostasis
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	immune system: immunodeficiency	61201	IMP					metabolism: abnormal glucose homeostasis
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	immune system: lymphoid development/ T lymphocyte defects	61201	IMP					metabolism: other metabolic defect measured by clinical chemistry
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	tumors: increased incidence	61201	IMP					metabolism: other metabolic defect
MGI:107202	Atm	MGI:1933748	Atm<tm1Fwa>	MGI:1933748	Atm<tm1Fwa>	involves: 129S4/SvJae # C57BL/6	neurological/behavioral: motor capabilities/coordination/movement anomalies	61201	IMP					metabolism: no defect detected
MGI:107202	Atm	MGI:1926875	Atm<tm1Led>	MGI:1926875	Atm<tm1Led>	involves: 129S6/SvEvTac # Black Swiss	growth/weight abnormality: postnatal	36561	IMP	strain Note				hematology: hematotpoetic anomalies
MGI:107202	Atm	MGI:1926875	Atm<tm1Led>	MGI:1926875	Atm<tm1Led>	129S6/SvEvTac x Black Swiss	immune system: other dysmorphology	36561	IMP					hematology: abnormal red blood cell count/anemia
MGI:107202	Atm	MGI:1926875	Atm<tm1Led>	MGI:1926875	Atm<tm1Led>	129S6/SvEvTac x Black Swiss	immune system: lymphoid development/ T lymphocyte defects	36561	IMP					hematology: abnormal blood coagulation
MGI:107202	Atm	MGI:1926875	Atm<tm1Led>	MGI:1926875	Atm<tm1Led>	129S6/SvEvTac x Black Swiss	tumors: increased incidence	36561	IMP					hematology: no defect detected
MGI:107202	Atm	MGI:1926875	Atm<tm1Led>	MGI:1926875	Atm<tm1Led>	129S6/SvEvTac x Black Swiss	reproductive system: fertility/fecundity anomalies	36561	IMP					heart/cardiovascular system: dysmorphology
MGI:107202	Atm	MGI:1933746	Atm<tm1Pmc>	MGI:1933746	Atm<tm1Pmc>	involves: 129/SvJ # C57BL/6	reproductive system: fertility/fecundity anomalies	47752	IMP					heart/cardiovascular system: blood circulatory defects
MGI:107202	Atm	MGI:1933746	Atm<tm1Pmc>	MGI:1933746	Atm<tm1Pmc>	involves: 129/SvJ # C57BL/6	tumors: increased incidence	47752	IMP					heart/cardiovascular system: blood pressure anomalies
MGI:99400	Atp7a	MGI:1856096	Atp7a<Mo>			Not Specified	survival: embryonic lethality	13041	IMP					heart/cardiovascular system: other functional anomalies
MGI:99400	Atp7a	MGI:1856096	Atp7a<Mo>	MGI:2158238	Atp7a<+>	Not Specified	coat: color anomalies	13041	IMP					heart/cardiovascular system: no defect detected
MGI:99400	Atp7a	MGI:1856096	Atp7a<Mo>	MGI:2158238	Atp7a<+>	Not Specified	survival: perinatal lethality	13041	IMP					respiratory system: dysmorphology
MGI:99400	Atp7a	MGI:1856096	Atp7a<Mo>	MGI:2158238	Atp7a<+>	Not Specified	reproductive system: no defect detected	13041	IMP					respiratory system: respiratory distress or failure/functional anomalies
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>			involves: 129S1/Sv # 129X1/SvJ # CF-1	survival: postnatal lethality	66094	IMP					respiratory system: no defect detected
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>			involves: 129S1/Sv # 129X1/SvJ # CF-1	growth/weight abnormality: postnatal	66094	IMP					kidney/renal system: dysmorphology
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>			involves: 129S1/Sv # 129X1/SvJ # CF-1	kidney/renal system: functional anomalies	66094	IMP					kidney/renal system: functional anomalies
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>			involves: 129S1/Sv # 129X1/SvJ # CF-1	metabolism: abnormal glucose homeostasis	66094	IMP					kidney/renal system: no defect detected
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>			involves: 129S1/Sv # 129X1/SvJ # CF-1	hematology: abnormal red blood cell count/anemia	66094	IMP					liver/hepatic system: dysmorphology
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>			involves: 129S1/Sv # 129X1/SvJ # CF-1	metabolism: other metabolic defect measured by clinical chemistry	66094	IMP					liver/hepatic system: functional anomalies
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>			involves: 129S1/Sv # 129X1/SvJ # CF-1	kidney/renal system: dysmorphology	66094	IMP					liver/hepatic system: no defect detected
MGI:88123	Avpr2	MGI:2150344	Avpr2<tm1Jwe>		Avpr2<+>	involves: 129S1/Sv # 129X1/SvJ # CF-1	kidney/renal system: functional anomalies	66094	IMP					digestive system: dysmorphology
MGI:88127	B2m	MGI:1927183	B2m<tm1Jae>	MGI:1927183	B2m<tm1Jae>	involves: 129S2/SvPas # C57BL/6J	no obvious phenotype: no defect detected	66094	IMP					digestive system: functional anomalies
MGI:88127	B2m	MGI:1857133	B2m<tm1Unc>	MGI:1857133	B2m<tm1Unc>	involves: 129S2/SvPas # C57BL/6J	immune system: lymphoid development/ T lymphocyte defects	66094	IMP	double mutant				digestive system: no defect detected
MGI:108015	Bapx1	MGI:1931319	Bapx1<tm1Boph>	MGI:1931319	Bapx1<tm1Boph>	Involves: 129P2/OlaHsd # C57BL/6	survival: perinatal lethality	57112	IMP					immune system: lymphoid development/ B lymphocyte defects
MGI:108015	Bapx1	MGI:1931319	Bapx1<tm1Boph>	MGI:1931319	Bapx1<tm1Boph>	Involves: 129P2/OlaHsd # C57BL/6	skeletal: axial defects	57112	IMP					immune system: lymphoid development/ T lymphocyte defects
MGI:108015	Bapx1	MGI:1931319	Bapx1<tm1Boph>	MGI:1931319	Bapx1<tm1Boph>	Involves: 129P2/OlaHsd # C57BL/6	skeletal: craniofacial defects	57112	IMP					immune system: other dysmorphology
MGI:108015	Bapx1	MGI:1931319	Bapx1<tm1Boph>	MGI:1931319	Bapx1<tm1Boph>	Involves: 129P2/OlaHsd # C57BL/6	immune system: other dysmorphology	57112	IMP					immune system: immunodeficiency
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ	skeletal: axial defects	55583	IMP	strain note				immune system: hypersensitivity
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ	survival: perinatal lethality	55583	IMP					immune system: other functional anomaly
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ	extremities: tail dysmorphology	55583	IMP					immune system: no defect detected
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ	skeletal: craniofacial defects	55583	IMP					central nervous system: neural tube defects
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ	immune system: other dysmorphology	55583	IMP					central nervous system: other dysmorphology
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ # C57BL/6	skeletal: axial defects	55583	IMP	strain note				immune system: hypersensitivity
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ # C57BL/6	survival: perinatal lethality	55583	IMP					immune system: other functional anomaly
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ # C57BL/6	extremities: tail dysmorphology	55583	IMP					immune system: no defect detected
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ # C57BL/6	skeletal: craniofacial defects	55583	IMP					central nervous system: neural tube defects
MGI:108015	Bapx1	MGI:1857926	Bapx1<tm1Tlu>	MGI:1857926	Bapx1<tm1Tlu>	involves: 129S1/Sv # 129X1/SvJ # C57BL/6	immune system: other dysmorphology	55583	IMP					central nervous system: other dysmorphology
MGI:88145	Bdnf	MGI:1930038	Bdnf<tm1Gdy>	MGI:1930038	Bdnf<tm1Gdy>	involves: 129P2/OlaHsd	survival: postnatal lethality	25565	IMP					central nervous system: LTP anomalies
MGI:88145	Bdnf	MGI:1930038	Bdnf<tm1Gdy>	MGI:1930038	Bdnf<tm1Gdy>	involves: 129P2/OlaHsd	neurological/behavioral: motor capabilities/coordination/movement anomalies	25565	IMP					central nervous system: other functional anomalies
MGI:88145	Bdnf	MGI:1930038	Bdnf<tm1Gdy>	MGI:1930038	Bdnf<tm1Gdy>	involves: 129P2/OlaHsd	central nervous system: other dysmorphology	25565	IMP					central nervous system: no defect detected
MGI:88145	Bdnf	MGI:1857136	Bdnf<tm1Jae>	MGI:1857136	Bdnf<tm1Jae>	involves: 129P2/OlaHsd	survival: postnatal lethality	17123	IMP					peripheral nervous system: dysmorphology
MGI:88145	Bdnf	MGI:1857136	Bdnf<tm1Jae>	MGI:1857136	Bdnf<tm1Jae>	involves: 129P2/OlaHsd	neurological/behavioral: motor capabilities/coordination/movement anomalies	17123	IMP					peripheral nervous system: functional anomalies
MGI:88145	Bdnf	MGI:1857136	Bdnf<tm1Jae>	MGI:1857136	Bdnf<tm1Jae>	involves: 129P2/OlaHsd	growth/weight abnormality: postnatal	17123	IMP					peripheral nervous system: no defect detected
MGI:88145	Bdnf	MGI:1857136	Bdnf<tm1Jae>	MGI:1857136	Bdnf<tm1Jae>	involves: 129P2/OlaHsd	central nervous system: other dysmorphology	17123	IMP					reproductive system: dysmorphology
MGI:88145	Bdnf	MGI:1930110	Bdnf<tm1Lfr>	MGI:1930110	Bdnf<tm1Lfr>	Involves: 129S2 # C57BL/6J	central nervous system: other dysmorphology	67231	IMP					reproductive system: fertility/fecundity anomalies
MGI:88145	Bdnf	MGI:1930110	Bdnf<tm1Lfr>	MGI:1930110	Bdnf<tm1Lfr>	Involves: 129S2 # C57BL/6J	growth/weight abnormality: postnatal	67231	IMP					reproductive system: no defect detected
MGI:88145	Bdnf	MGI:1930110	Bdnf<tm1Lfr>	MGI:1930110	Bdnf<tm1Lfr>	Involves: 129S2 # C57BL/6J	neurological/behavioral: motor capabilities/coordination/movement anomalies	67231	IMP					endocrine glands: dysmorphology
MGI:88145	Bdnf	MGI:1930110	Bdnf<tm1Lfr>	MGI:1930110	Bdnf<tm1Lfr>	Involves: 129S2 # C57BL/6J	survival: postnatal lethality	67231	IMP					endocrine glands: functional anomalies
MGI:88145	Bdnf	MGI:1930110	Bdnf<tm1Lfr>	MGI:1930110	Bdnf<tm1Lfr>	Involves: 129S2 # C57BL/6J	respiratory system: respiratory distress or failure/functional anomalies	67231	IMP					endocrine glands: no defect detected
MGI:88145	Bdnf	MGI:1929986	Bdnf<tm1Par>	MGI:1929986	Bdnf<tm1Par>	involves: 129S1/Sv	survival: postnatal lethality	44286	IMP					tumors: increased incidence
MGI:88145	Bdnf	MGI:1929986	Bdnf<tm1Par>	MGI:1929986	Bdnf<tm1Par>	involves: 129S1/Sv	central nervous system: other dysmorphology	44286	IMP					tumors: no increased incidence
