MGI:101922	Tnc	MGI:2148541	Tnc<tm1Fas>	MGI:2148541	Tnc<tm1Fas>	involves: 129/Sv # 129S2/SvPas 	no obvious phenotype: no defect detected	33828	TAS		
MGI:101922	Tnc	MGI:2148540	Tnc<tm1Sia>	MGI:2148540	Tnc<tm1Sia>	Involves: BALB/c # C57BL/6 # CBA	no obvious phenotype: no defect detected	36890	TAS		
MGI:99828	Slc7a2	MGI:2150359	Slc7a2<tm1Clm>	MGI:2150359	Slc7a2<tm1Clm>	involves: 129S7/SvEvBrd-Hprt<b-m2> # C57BL/6	immune system: other functional anomaly	69414	TAS		
MGI:104537	Brca1	MGI:1930613	Brca1<tm1Arge>	MGI:1930613	Brca1<tm1Arge>	Involves: 129S/SvEv # C57BL/6	survival: embryonic lethality	40594	TAS		
MGI:104537	Brca1	MGI:1930613	Brca1<tm1Arge>	MGI:1930613	Brca1<tm1Arge>	Involves: 129S/SvEv # C57BL/6	growth/weight abnormality: embryonic	40594	TAS		
MGI:104537	Brca1	MGI:1930613	Brca1<tm1Arge>	MGI:1930613	Brca1<tm1Arge>	Involves: 129S/SvEv # C57BL/6	embryogenesis: extraembryonic tissue dysmorphology	40594	TAS		
MGI:104537	Brca1	MGI:1930613	Brca1<tm1Arge>	MGI:2152435	Brca1<+>	Involves: 129S/SvEv # C57BL/6	no obvious phenotype: no defect detected	40594	TAS		
MGI:104537	Brca1	MGI:1857931	Brca1<tm1Bhk>	MGI:1857931	Brca1<tm1Bhk>	involves: 129P2/OlaHsd # C57BL/6 # DBA/2	survival: embryonic lethality	31571	TAS		
MGI:104537	Brca1	MGI:1857931	Brca1<tm1Bhk>	MGI:1857931	Brca1<tm1Bhk>	involves: 129P2/OlaHsd # C57BL/6 # DBA/2	central nervous system: neural tube defects	31571	TAS		
MGI:104537	Brca1	MGI:1857931	Brca1<tm1Bhk>	MGI:2152435	Brca1<+>	involves: 129P2/OlaHsd # C57BL/6 # DBA/2	no obvious phenotype: no defect detected	31571	TAS		
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	129S6/SvEvTac-Brca1<tm1Cxd>	survival: embryonic lethality	51834	TAS		
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	129S6/SvEvTac-Brca1<tm1Cxd>	growth/weight abnormality: embryonic	51834	TAS		
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	129S6/SvEvTac-Brca1<tm1Cxd>	embryogenesis: embryonic tissue dysmorphology	51834	TAS		
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	involves: 129S6/SvEvTac # Black Swiss	survival: embryonic lethality	51834	TAS		
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	involves: 129S6/SvEvTac # Black Swiss	growth/weight abnormality: embryonic	51834	TAS
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	involves: 129S6/SvEvTac # Black Swiss	embryogenesis: embryonic tissue dysmorphology	51834	TAS
MGI:104537	Brca1	MGI:1930612	Brca1<tm1Cxd>	MGI:1930612	Brca1<tm1Cxd>	involves: 129S6/SvEvTac # C57BL/6	survival: embryonic lethality	51834	TAS
