MGI:2150030	Actd1	2153871	Actd1<C57BL/6J>			(C57BL/6J x DBA/2J)F2	neurological/behavioral: motor capabilities/coordination/movement anomalies	65696	TAS	distance traveled		survival: perinatal lethality
MGI:2151936	Actre1	2153873	Actre<DBA/2J>	2153874	Actre<C57BL/6J>	(DBA/2J x C57BL/6J)F2	neurological/behavioral: no defect detected	71081	TAS	locomotor activity		survival: postnatal lethality
MGI:2151936	Actre1	2153873	Actre<DBA/2J>	2153874	Actre<C57BL/6J>	multiple	neurological/behavioral: no defect detected	71081	TAS	locomotor activity		survival: premature death
MGI:2149041	Adip1	2153875	Adip1<LG/J>			(LG/J x SM/J)F2	growth/weight abnormality: postnatal	62610	TAS	adiposity		embryogenesis: developmental patterning abnormalities
MGI:2150421	Alcp25	2153877	Alcp25<DBA/2Ibg>	2153877	Alcp25<DBA/2Ibg>	(DBA/2Ibg x C57BL/6Ibg)F1 x C57BL/6Ibg	neurological/behavioral: feeding/drinking preference anomalies	56967	TAS	alcohol preference		embryogenesis: embryonic tissue dysmorphology
MGI:2150421	Alcp25	2153877	Alcp25<DBA/2Ibg>	2153878	Alcp25<C57BL/6Ibg>	(DBA/2Ibg x C57BL/6Ibg)F1 x C57BL/6Ibg	neurological/behavioral: feeding/drinking preference anomalies	56967	TAS	alcohol preference		embryogenesis: extraembryonic tissue dysmorphology
MGI:2150421	Alcp25	2153878	Alcp25<C57BL/6Ibg>	2153878	Alcp25<C57BL/6Ibg>	(DBA/2Ibg x C57BL/6Ibg)F1 x C57BL/6Ibg	neurological/behavioral: feeding/drinking preference anomalies	56967	TAS	alcohol preference		embryogenesis: placental dysmorphology
MGI:1330314	Alcp4	2153881	Alcp4<DBA/2J>	2153881	Alcp4<DBA/2J>	(C57BL/6J x DBA/2J)F1 x C57BL/6J 	neurological/behavioral: feeding/drinking preference anomalies	52086	TAS	alcohol preference		embryogenesis: no defect detected
MGI:1330314	Alcp4	2153880	Alcp4<C57BL/6J>	2153881	Alcp4<DBA/2J>	(C57BL/6J x DBA/2J)F1 x C57BL/6J 	neurological/behavioral: feeding/drinking preference anomalies	52086	TAS	alcohol preference		growth/weight abnormality: embryonic
MGI:1330314	Alcp4	2153880	Alcp4<C57BL/6J>	2153880	Alcp4<C57BL/6J>	(C57BL/6J x DBA/2J)F1 x C57BL/6J 	neurological/behavioral: feeding/drinking preference anomalies	52086	TAS	alcohol preference		growth/weight abnormality: postnatal
MGI:1330314	Alcp4	2153881	Alcp4<DBA/2J>	2153881	Alcp4<DBA/2J>	C57BL/6J x (C57BL/6J x DBA/2J)F1	neurological/behavioral: feeding/drinking preference anomalies	52086	TAS	alcohol preference		eye: visual defects
MGI:1330314	Alcp4	2153880	Alcp4<C57BL/6J>	2153881	Alcp4<DBA/2J>	C57BL/6J x (C57BL/6J x DBA/2J)F1	neurological/behavioral: feeding/drinking preference anomalies	52086	TAS	alcohol preference		eye: dysmorphology
MGI:1330314	Alcp4	2153880	Alcp4<C57BL/6J>	2153880	Alcp4<C57BL/6J>	C57BL/6J x (C57BL/6J x DBA/2J)F1	neurological/behavioral: feeding/drinking preference anomalies	52086	TAS	alcohol preference		eye: corneal or lens defect
MGI:1309452	Alcw1	2153882	Alcw1<DBA/2J>			(C57BL/6J x DBA/2J)F2	neurological/behavioral: no defect detected	56967	TAS	alcohol withdrawal		eye: no defect detected
MGI:1309452	Alcw1	2153882	Alcw1<DBA/2J>			complex	neurological/behavioral: no defect detected	56967	TAS	alcohol withdrawal		coat: hair growth defects
MGI:1309452	Alcw1	2153882	Alcw1<DBA/2J>			multiple	neurological/behavioral: no defect detected	56967	TAS	alcohol withdrawal		coat: hair texture defects
MGI:2151073	Amp2	2153884	Amp2<BALB/cJ>	2153884	Amp2<BALB/cJ>	(C57BL/6J x BALB/cJ)F2	neurological/behavioral: sleep pattern/circadian rhythm anomalies	69972	TAS	circadian rhythm		coat: color anomalies
MGI:2152428	Ap1q	2153885	Ap1q<C57BL/6J>	2153885	Ap1q<C57BL/6J>	(C57BL/6J x DBA/2J)F2	neurological/behavioral: feeding/drinking preference anomalies	49707	TAS	alcohol preference		coat: hair follicle structure/orientation anomalies
MGI:2152428	Ap1q	2153885	Ap1q<C57BL/6J>	2153886	Ap1q<DBA/2J>	(C57BL/6J x DBA/2J)F2	neurological/behavioral: feeding/drinking preference anomalies	49707	TAS	alcohol preference		coat: no defect detected
MGI:2152428	Ap1q	2153886	Ap1q<DBA/2J>	2153886	Ap1q<DBA/2J>	(C57BL/6J x DBA/2J)F2	neurological/behavioral: feeding/drinking preference anomalies	49707	TAS	alcohol preference		skin: pigmentation anomalies
MGI:2148560	Axtex					(H1 x L1)F2	neurological/behavioral: fear/anxiety	69668	TAS	exploratory behavior		skin: texture/condition anomalies
MGI:2148560	Axtex					(H2 x L2)F2	neurological/behavioral: fear/anxiety	69668	TAS	exploratory behavior		skin: no defect detected
MGI:2148544	Axtofa1					(H1 x L1)F2	neurological/behavioral: fear/anxiety	70479	TAS	open field activity		vibrissae: shape/orientation defects
MGI:2148544	Axtofa1					(H2 x L2)F2	neurological/behavioral: fear/anxiety	70479	TAS	open field activity		vibrissae: no defect detected
