EMAP ID	TS	EMAP TERM NAME	EMAPA ID	EMAPA TERM NAME
1	TS01 	first polar body	16032	first polar body
2	TS01 	one-cell stage embryo	16033	one-cell stage embryo
3	TS01 	second polar body	16034	second polar body
4	TS01 	zona pellucida	16035	zona pellucida
5	TS02 	second polar body	16034	second polar body
6	TS02 	two-cell stage embryo	16036	two-cell stage embryo
7	TS02 	zona pellucida	16035	zona pellucida
8	TS03 	4-8 cell stage embryo	16037	4-8 cell stage embryo
9	TS03 	compacted morula	16040	compacted morula
10	TS03 	second polar body	16034	second polar body
11	TS03 	zona pellucida	16035	zona pellucida
12	TS04 	embryo	16039	embryo
13	TS04 	compacted morula	16040	compacted morula
14	TS04 	inner cell mass	16041	inner cell mass
15	TS04 	extraembryonic component	16042	extraembryonic component
16	TS04 	extraembryonic cavities and their linings	16043	extraembryonic cavities and their linings
17	TS04 	blastocoelic cavity	16044	blastocoelic cavity
18	TS04 	second polar body	16045	second polar body
19	TS04 	trophectoderm	16046	trophectoderm
20	TS04 	mural trophectoderm	16047	mural trophectoderm
21	TS04 	polar trophectoderm	16048	polar trophectoderm
22	TS04 	zona pellucida	16049	zona pellucida
23	TS05 	embryo	16039	embryo
24	TS05 	inner cell mass	16041	inner cell mass
25	TS05 	extraembryonic component	16042	extraembryonic component
26	TS05 	extraembryonic cavities and their linings	16043	extraembryonic cavities and their linings
27	TS05 	blastocoelic cavity	16044	blastocoelic cavity
28	TS05 	trophectoderm	16046	trophectoderm
29	TS05 	mural trophectoderm	16047	mural trophectoderm
30	TS05 	polar trophectoderm	16048	polar trophectoderm
31	TS06 	embryo	16039	embryo
32	TS06 	epiblast	16050	epiblast
33	TS06 	primitive endoderm	16051	primitive endoderm
34	TS06 	extraembryonic component	16042	extraembryonic component
35	TS06 	extraembryonic cavities and their linings	16043	extraembryonic cavities and their linings
36	TS06 	blastocoelic cavity	16044	blastocoelic cavity
37	TS06 	extraembryonic endoderm	16052	extraembryonic endoderm
38	TS06 	parietal endoderm	16053	parietal endoderm
39	TS06 	trophectoderm	16046	trophectoderm
40	TS06 	mural trophectoderm	16047	mural trophectoderm
41	TS06 	polar trophectoderm	16048	polar trophectoderm
42	TS07 	embryo	16039	embryo
43	TS07 	epiblast	16050	epiblast
44	TS07 	primitive endoderm	16051	primitive endoderm
45	TS07 	extraembryonic component	16042	extraembryonic component
46	TS07 	extraembryonic component cavities	16054	extraembryonic component cavities
47	TS07 	yolk sac cavity	16055	yolk sac cavity
48	TS07 	extraembryonic endoderm	16052	extraembryonic endoderm
49	TS07 	intermediate endoderm	16056	intermediate endoderm
50	TS07 	parietal endoderm	16053	parietal endoderm
51	TS07 	Reichert's membrane	16057	Reichert's membrane
52	TS07 	visceral endoderm	16058	visceral endoderm
53	TS07 	trophectoderm	16046	trophectoderm
54	TS07 	mural trophectoderm	16047	mural trophectoderm
55	TS07 	polar trophectoderm	16048	polar trophectoderm
56	TS07 	ectoplacental cone	16059	ectoplacental cone
57	TS08 	embryo	16039	embryo
58	TS08 	cavities and their linings	16060	cavities and their linings
59	TS08 	embryonic component of the proamniotic cavity	16061	embryonic component of the proamniotic cavity
60	TS08 	endoderm	16062	endoderm
61	TS08 	primitive endoderm	16063	primitive endoderm
62	TS08 	epiblast	16050	epiblast
63	TS08 	extraembryonic component	16042	extraembryonic component
64	TS08 	extraembryonic component cavities	16054	extraembryonic component cavities
65	TS08 	proamniotic cavity extraembryonic part	16064	proamniotic cavity extraembryonic part
66	TS08 	yolk sac cavity	16055	yolk sac cavity
67	TS08 	extraembryonic ectoderm	16065	extraembryonic ectoderm
68	TS08 	extraembryonic endoderm	16052	extraembryonic endoderm
69	TS08 	intermediate endoderm	16056	intermediate endoderm
70	TS08 	parietal endoderm	16053	parietal endoderm
71	TS08 	Reichert's membrane	16057	Reichert's membrane
72	TS08 	visceral endoderm	16058	visceral endoderm
73	TS08 	trophectoderm	16046	trophectoderm
74	TS08 	mural trophectoderm	16047	mural trophectoderm
75	TS08 	primary trophoblast giant cells	16066	primary trophoblast giant cells
76	TS08 	polar trophectoderm	16048	polar trophectoderm
77	TS08 	ectoplacental cone	16059	ectoplacental cone
78	TS08 	cytotrophoblast	16067	cytotrophoblast
79	TS08 	syncytiotrophoblast	16068	syncytiotrophoblast
80	TS09 	embryo	16039	embryo
81	TS09 	cavities and their linings	16060	cavities and their linings
82	TS09 	embryonic component of the proamniotic cavity	16061	embryonic component of the proamniotic cavity
83	TS09 	ectoderm	16069	ectoderm
84	TS09 	endoderm	16062	endoderm
85	TS09 	definitive endoderm	16070	definitive endoderm
86	TS09 	primitive endoderm	16063	primitive endoderm
87	TS09 	mesoderm	16071	mesoderm
88	TS09 	primitive streak	16072	primitive streak
89	TS09 	extraembryonic component	16042	extraembryonic component
90	TS09 	extraembryonic component cavities	16054	extraembryonic component cavities
91	TS09 	proamniotic cavity extraembryonic part	16064	proamniotic cavity extraembryonic part
92	TS09 	yolk sac cavity	16055	yolk sac cavity
93	TS09 	extraembryonic ectoderm	16065	extraembryonic ectoderm
94	TS09 	extraembryonic endoderm	16052	extraembryonic endoderm
95	TS09 	intermediate endoderm	16056	intermediate endoderm
96	TS09 	parietal endoderm	16053	parietal endoderm
97	TS09 	Reichert's membrane	16057	Reichert's membrane
98	TS09 	visceral endoderm	16058	visceral endoderm
99	TS09 	trophectoderm	16046	trophectoderm
