MGI:5933564	Tssr5797	MGI:3643257	Gm7357
MGI:5933566	Tssr5799	MGI:3647047	Gm6123
MGI:5933567	Tssr5800	MGI:1925192	A930006A01Rik
MGI:5933568	Tssr5801	MGI:1344588	Lypla1
MGI:5933570	Tssr5803	MGI:1344588	Lypla1
MGI:5933573	Tssr5806	MGI:1196624	Tcea1
MGI:5933574	Tssr5807	MGI:1196624	Tcea1
MGI:5933575	Tssr5808	MGI:1196624	Tcea1
MGI:5933576	Tssr5809	MGI:1196624	Tcea1
MGI:5933577	Tssr5810	MGI:1196624	Tcea1
MGI:5933578	Tssr5811	MGI:1914864	Atp6v1h
MGI:5933579	Tssr5812	MGI:1914864	Atp6v1h
MGI:5933580	Tssr5813	MGI:1914864	Atp6v1h
MGI:5933581	Tssr5814	MGI:1914864	Atp6v1h
MGI:5933587	Tssr5820	MGI:1341850	Rb1cc1
MGI:5933588	Tssr5821	MGI:1341850	Rb1cc1
MGI:5933589	Tssr5822	MGI:1341850	Rb1cc1
MGI:5933590	Tssr5823	MGI:1341850	Rb1cc1
MGI:5933591	Tssr5824	MGI:1341850	Rb1cc1
MGI:5933592	Tssr5825	MGI:1341850	Rb1cc1
MGI:5933594	Tssr5827	MGI:1341850	Rb1cc1
MGI:5933595	Tssr5828	MGI:1341850	Rb1cc1
MGI:5933597	Tssr5830	MGI:3780316	Gm2147
MGI:5933602	Tssr5835	MGI:2446700	St18
MGI:5933603	Tssr5836	MGI:2446700	St18
MGI:5933637	Tssr5870	MGI:2446700	St18
MGI:5933638	Tssr5871	MGI:2446700	St18
MGI:5933639	Tssr5872	MGI:2446700	St18
MGI:5933640	Tssr5873	MGI:2446700	St18
MGI:5933641	Tssr5874	MGI:2446700	St18
MGI:5933644	Tssr5877	MGI:5610336	Gm37108
MGI:5933647	Tssr5880	MGI:2441773	Pcmtd1
MGI:5933648	Tssr5881	MGI:2441773	Pcmtd1
MGI:5933649	Tssr5882	MGI:2441773	Pcmtd1
MGI:5933650	Tssr5883	MGI:2441773	Pcmtd1
MGI:5933651	Tssr5884	MGI:2441773	Pcmtd1
MGI:5933654	Tssr5887	MGI:2441773	Pcmtd1
MGI:5933655	Tssr5888	MGI:3642725	Gm9826
MGI:5933660	Tssr5893	MGI:3646401	Gm7512
MGI:5933661	Tssr5894	MGI:1929721	Rrs1
MGI:5933662	Tssr5895	MGI:1929721	Rrs1
MGI:5933663	Tssr5896	MGI:1929721	Rrs1
MGI:5933665	Tssr5898	MGI:1923437	Adhfe1
MGI:5933666	Tssr5899	MGI:1923437	Adhfe1
MGI:5933667	Tssr5900	MGI:1924232	Vxn
MGI:5933668	Tssr5901	MGI:1924232	Vxn
MGI:5933669	Tssr5902	MGI:1924232	Vxn
MGI:5933670	Tssr5903	MGI:1924232	Vxn
MGI:5933671	Tssr5904	MGI:1924232	Vxn
MGI:5933672	Tssr5905	MGI:1924232	Vxn
MGI:5933673	Tssr5906	MGI:1924232	Vxn
MGI:5933675	Tssr5908	MGI:1920581	1700034P13Rik
MGI:5933678	Tssr5911	MGI:2182368	Sgk3
MGI:5933679	Tssr5912	MGI:2182368	Sgk3
MGI:5933680	Tssr5913	MGI:2182368	Sgk3
MGI:5933681	Tssr5914	MGI:2182368	Sgk3
MGI:5933685	Tssr5918	MGI:2182368	Sgk3
MGI:5933686	Tssr5919	MGI:2182368	Sgk3
MGI:5933687	Tssr5920	MGI:2182368	Sgk3
MGI:5933688	Tssr5921	MGI:3045334	Mcmdc2
MGI:5933689	Tssr5922	MGI:3045334	Mcmdc2
MGI:5933690	Tssr5923	MGI:3045334	Mcmdc2
MGI:5933691	Tssr5924	MGI:2681832	Cspp1
MGI:5933692	Tssr5925	MGI:2681832	Cspp1
MGI:5933693	Tssr5926	MGI:2681832	Cspp1
MGI:5933694	Tssr5927	MGI:2681832	Cspp1
MGI:5933695	Tssr5928	MGI:2681832	Cspp1
MGI:5933700	Tssr5933	MGI:1923385	Prex2
MGI:5933701	Tssr5934	MGI:1923385	Prex2
MGI:5933702	Tssr5935	MGI:1923385	Prex2
MGI:5933703	Tssr5936	MGI:1923385	Prex2
MGI:5933712	Tssr5945	MGI:2444149	A830018L16Rik
MGI:5933713	Tssr5946	MGI:2444149	A830018L16Rik
MGI:5933714	Tssr5947	MGI:2444149	A830018L16Rik
MGI:5933715	Tssr5948	MGI:2138563	Sulf1
MGI:5933716	Tssr5949	MGI:2138563	Sulf1
MGI:5933717	Tssr5950	MGI:2138563	Sulf1
MGI:5933718	Tssr5951	MGI:2138563	Sulf1
MGI:5933719	Tssr5952	MGI:2138563	Sulf1
