Source	Raw BioType	Feature Type Equivalence	Primary Feature Type	RawBioType > MarkerType	Notes	Use Child To Determine Equivalence	no
Ensembl	antisense	antisense lncRNA gene	antisense lncRNA gene	Gene	no		
Ensembl	antisense_RNA	antisense lncRNA gene	antisense lncRNA gene	Gene	no
Ensembl	IG_C_gene	gene segment	gene segment	Gene	no		
Ensembl	IG_D_gene	gene segment	gene segment	Gene	no		
Ensembl	IG_gene	gene segment	gene segment	Gene	no		
Ensembl	IG_J_gene	gene segment	gene segment	Gene	no		
Ensembl	IG_LV_gene	gene segment	gene segment	Gene	no		
Ensembl	IG_M_gene	gene segment	gene segment	Gene	no		
Ensembl	IG_V_gene	gene segment	gene segment	Gene	no		
Ensembl	IG_Z_gene	gene segment	gene segment	Gene	no		
Ensembl	TR_C_gene	gene segment	gene segment	Gene	no		
Ensembl	TR_D_gene	gene segment	gene segment	Gene	no		
Ensembl	TR_gene	gene segment	gene segment	Gene	no		
Ensembl	TR_J_gene	gene segment	gene segment	Gene	no		
Ensembl	TR_V_gene	gene segment	gene segment	Gene	no		
Ensembl	lincRNA	lincRNA gene	lincRNA gene	Gene	no		
Ensembl	sense_intronic	sense intronic lncRNA gene	sense intronic lncRNA gene	Gene	no		
Ensembl	3prime_overlapping_ncRNA	lncRNA gene	lncRNA gene	Gene	no		
Ensembl	bidirectional_promoter_lncRNA	bidirectional promoter lncRNA gene	bidirectional promoter lncRNA gene	Gene	no		
Ensembl	macro_lncRNA	lncRNA gene	lncRNA gene	Gene	no		
Ensembl	ncrna_host	lncRNA gene	lncRNA gene	Gene	no		
Ensembl	sense_overlapping	sense overlapping lncRNA gene	sense overlapping lncRNA gene	Gene	no		
Ensembl	miRNA	miRNA gene	miRNA gene	Gene	no		
Ensembl	non_coding	non-coding RNA gene	unclassified non-coding RNA gene	Gene	yes		
Ensembl	polymorphic_pseudogene	polymorphic pseudogene	polymorphic pseudogene	Pseudogene	no		
Ensembl	protein_coding	protein coding gene	protein coding gene	Gene	no		
Ensembl	processed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
Ensembl	pseudogene	pseudogene	pseudogene	Pseudogene	no		
Ensembl	retrotransposed	pseudogene	pseudogene	Pseudogene	no		
Ensembl	transcribed_processed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
Ensembl	transcribed_unitary_pseudogene	pseudogene	pseudogene	Pseudogene	no		
Ensembl	transcribed_unprocessed_pseudogene	pseudogene	pseudogene	Pseudogene	no		
