RO:0012003	acts_on_population_of
RO:0002263	acts_upstream_of
RO:0004035	acts_upstream_of_negative_effect
RO:0002264	acts_upstream_of_or_within
RO:0004033	acts_upstream_of_or_within_negative_effect
RO:0004032	acts_upstream_of_or_within_positive_effect
RO:0004034	acts_upstream_of_posititve_effect
RO:0002220	adjacent_to
RO:0002216	capable_of_part_of
RO:0002411	causally_upstream_of
RO:0002418	causally_upstream_of_or_within
RO:0002333	enabled_by
RO:0002327	enables
RO:0002092	during
RO:0002092	happens_during
RO:0002233	has_direct_input
RO:0002233	has_input
RO:0002233	has_regulation_target
RO:0002233	results_in_division_of
RO:0002234	has_output
GOREL:0001002	has_output_o_axis_of
RO:0002339	has_end_location
RO:0002339	has_target_end_location
RO:0002338	has_target_start_location
RO:0002340	imports
RO:0002331	involved_in
RO:0002429	involved_in_positive_regulation_of
RO:0001025	located_in
RO:0002212	negatively_regulates
BFO:0000066	occurs_at
BFO:0000066	occurs_in
RO:0002131	overlaps
BFO:0000050	part_of
RO:0002213	positively_regulates
GOREL:0001008	regulates_o_acts_on_population_of
GOREL:0001011	regulates_o_has_agent
GOREL:0001030	regulates_o_has_input
GOREL:0001030	regulates_o_results_in_division_of
GOREL:0001003	regulates_o_has_output
GOREL:0001004	regulates_o_occurs_in
GOREL:0001010	regulates_o_results_in_acquisition_of_features_of
GOREL:0001022	regulates_o_results_in_commitment_to
GOREL:0001023	regulates_o_results_in_development_of
GOREL:0001025	regulates_o_results_in_formation_of
GOREL:0001012	regulates_o_results_in_maturation_of
GOREL:0001026	regulates_o_results_in_morphogenesis_of
GOREL:0001005	regulates_o_results_in_movement_of
GOREL:0001027	regulates_o_results_in_specification_of
GOREL:0000038	regulates_o_transports_or_maintains_localization_of
RO:0002315	results_in_acquisition_of_features_of
RO:0002348	results_in_commitment_to
RO:0002349	results_in_determination_of
RO:0002296	results_in_development_of
RO:0002297	results_in_formation_of
RO:0002299	results_in_maturation_of
RO:0002298	results_in_morphogenesis_of
RO:0002565	results_in_movement_of
RO:0002356	results_in_specification_of
RO:0002313	transports_or_maintains_localization_of
RO:0002325	colocalizes_with
RO:0002326	contributes_to
