GO:0000015	phosphopyruvate hydratase complex
GO:0000109	nucleotide-excision repair complex
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000111	nucleotide-excision repair factor 2 complex
GO:0000112	nucleotide-excision repair factor 3 complex
GO:0000113	nucleotide-excision repair factor 4 complex
GO:0000118	histone deacetylase complex
GO:0000120	RNA polymerase I transcription regulator complex
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000125	PCAF complex
GO:0000126	transcription factor TFIIIB complex
GO:0000127	transcription factor TFIIIC complex
GO:0000133	polarisome
GO:0000136	mannan polymerase complex
GO:0000145	exocyst
GO:0000148	1,3-beta-D-glucan synthase complex
GO:0000151	ubiquitin ligase complex
GO:0000152	nuclear ubiquitin ligase complex
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0000159	protein phosphatase type 2A complex
GO:0000164	protein phosphatase type 1 complex
GO:0000172	ribonuclease MRP complex
GO:0000176	nuclear exosome (RNase complex)
GO:0000177	cytoplasmic exosome (RNase complex)
GO:0000178	exosome (RNase complex)
GO:0000214	tRNA-intron endonuclease complex
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000222	plasma membrane proton-transporting V-type ATPase, V0 domain
GO:0000223	plasma membrane proton-transporting V-type ATPase, V1 domain
GO:0000243	commitment complex
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000311	plastid large ribosomal subunit
GO:0000312	plastid small ribosomal subunit
GO:0000314	organellar small ribosomal subunit
GO:0000315	organellar large ribosomal subunit
GO:0000333	telomerase catalytic core complex
GO:0000343	plastid-encoded plastid RNA polymerase complex A
GO:0000344	plastid-encoded plastid RNA polymerase complex B
GO:0000345	cytosolic DNA-directed RNA polymerase complex
GO:0000346	transcription export complex
GO:0000347	THO complex
GO:0000408	EKC/KEOPS complex
GO:0000417	HIR complex
GO:0000418	RNA polymerase IV complex
GO:0000419	RNA polymerase V complex
GO:0000427	plastid-encoded plastid RNA polymerase complex
GO:0000428	DNA-directed RNA polymerase complex
GO:0000438	core TFIIH complex portion of holo TFIIH complex
GO:0000439	transcription factor TFIIH core complex
GO:0000440	core TFIIH complex portion of NEF3 complex
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000446	nucleoplasmic THO complex
GO:0000500	RNA polymerase I upstream activating factor complex
GO:0000502	proteasome complex
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000782	telomere cap complex
GO:0000783	nuclear telomere cap complex
GO:0000786	nucleosome
GO:0000787	cytoplasmic nucleosome
GO:0000788	nuclear nucleosome
GO:0000796	condensin complex
GO:0000797	condensin core heterodimer
GO:0000798	nuclear cohesin complex
GO:0000799	nuclear condensin complex
GO:0000808	origin recognition complex
GO:0000809	cytoplasmic origin of replication recognition complex
GO:0000811	GINS complex
GO:0000812	Swr1 complex
GO:0000813	ESCRT I complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000817	COMA complex
GO:0000818	nuclear MIS12/MIND complex
GO:0000835	ER ubiquitin ligase complex
GO:0000836	Hrd1p ubiquitin ligase complex
GO:0000837	Doa10p ubiquitin ligase complex
GO:0000838	Hrd1p ubiquitin ligase ERAD-M complex
GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
GO:0000924	gamma-tubulin ring complex, centrosomal
GO:0000927	gamma-tubulin small complex, centrosomal
GO:0000928	gamma-tubulin small complex, spindle pole body
GO:0000930	gamma-tubulin complex
GO:0000931	gamma-tubulin large complex
GO:0000938	GARP complex
GO:0000939	condensed chromosome inner kinetochore
GO:0000940	condensed chromosome outer kinetochore
GO:0000941	condensed nuclear chromosome inner kinetochore
GO:0000942	condensed nuclear chromosome outer kinetochore
GO:0000974	Prp19 complex
GO:0001114	protein-DNA-RNA complex
GO:0001401	SAM complex
GO:0001405	PAM complex, Tim23 associated import motor
GO:0001518	voltage-gated sodium channel complex
GO:0001534	radial spoke
GO:0001535	radial spoke head
GO:0001536	radial spoke stalk
