95/01	Butyrate response factor 2 (5' primers) 	Brf2	M58564	Brf2 	butyrate response factor 2	
95/02	Butyrate response factor 1 (5' primers) 	Brf1	M58566	Brf1 	butyrate response factor 1	
95/03	Somatostatin receptor type 4 (5' primers) 	Smstr4	U26176	Smstr4 	somatostatin receptor 4	
95/04	Glucagon receptor (5' primers) 	Gcgr	L38613	Gcgr 	glucagon receptor	
95/05	Somatostatin receptor isoform 1 (5' primers) 	Smstr1	M81831	Smstr1 	somatostatin receptor 1	
95/06	Somatostatin receptor isoform 2 (5' primers) 	Smstr2	M81832	Smstr2 	somatostatin receptor 2	
95/07	Somatostatin receptor (SSTR3) (5' primers) 	Smstr3	M91000	Smstr3 	somatostatin receptor 3	
95/08	Zinc finger protein-36 (5' primers) 	Zfp36	X14678	Zfp36 	zinc finger protein 36	
95/09	Hepatocyte growth factor 	Hgf	D10213	Hgf 	hepatocyte growth factor	
95/10	Meiosis-specific nuclear structural protein 1 	Mns1	D14849	Mns1 	meiosis-specific nuclear structural protein 1	
95/11	TGF-beta type I receptor 	Tgfbr1	D25540	Tgfbr1 	"transforming growth factor, beta receptor I"	
95/12	Glial cell line derived neurotrophic factor 	Gdnf	D49921	Gdnf 	glial cell line derived neurotrophic factor	
95/13	Pleiotrophin 	Ptn	D90225	Ptn 	pleiotrophin	
95/14	Homeobox B6 	Hoxb6	J03782	Hoxb6 	homeo box B6	
95/15	Immunoglobulin associated beta 	Igb	J03857	Igb 	immunoglobulin-associated beta
95/16	Housekeeping 2 	null	J04761	DXHXS254E	"DNA segment, Chr X, human DXS254E"
95/17	Growth hormone 	Gh	K03232	Gh 	growth hormone
95/18	Caudal type homeobox-4 	Cdx4	L08061	Cdx4 	caudal type homeo box 4
95/19	Homeo box A10 	Hoxa10	L08757	Hoxa10 	homeo box A10
95/20	Neural retina-specific leucine zipper 	Nrl	L14935	Nrl 	neural retina leucine zipper gene
95/21	"Drosophila NK2 transcription factor related, locus 5  "	Nkx2-5	L20300	Nkx2-5 	"Drosophila NK2 transcription factor related, locus 5"
95/22	"Solute carrier family 17 (sodium/hydrogen exchanger) isoform 2 (antiporter, sodium/hydrogen, amiloride sensitive)  "	Sk17a2	L33878	Slc17a2 	"solute carrier family 17 (sodium/hydrogen exchanger), member 2"
95/23	Glucagon receptor 	Gcgr	L38613	Gcgr 	glucagon receptor
95/24	Amelogenin (enamel-specific) 	Amel	M10095	Amel 	amelogenin
95/25	Adenosine deaminase 	Ada	M10319	Ada 	adenosine deaminase
95/26	"Nerve growth factor, alpha  "	Ngfa	M11434	Ngfa 	"nerve growth factor, alpha"
95/27	Cholecystokinin 	Cck	M11739	Cck 	cholecystokinin
95/28	"Amylase-2, pancreatic  "	Amy2	M11895	Amy2 	"amylase 2, pancreatic"
95/29	"Actin, alpha1, skeletal muscle"	Acta1	M12866	Acta1 	"actin, alpha 1, skeletal muscle"
95/30	Cysteine-rich intestinal protein 	Crip	M13018	Crip 	cysteine rich intestinal protein
95/31	Transforming growth factor beta 	Tgfb1	M13177	Tgfb1 	"transforming growth factor, beta 1"
95/32	Nerve growth factor beta 	Ngfb	M14805	Ngfb	"nerve growth factor, beta"
95/33	Insulin-like growth factor-2 	Igf2	M14951	Igf2 	insulin-like growth factor 2
95/34	"Lactate dehydrogenase-3, C chain, sperm specific  "	Ldh3	M17587	Ldh3 	"lactate dehydrogenase 3, C chain, sperm specific"
95/35	Calbindin-28K 	Calb1	M21531	Calb1 	calbindin-28K
95/36	"cytochrome P450, 2a5  "	Cyp2a5	M21855	Cyp2b9 	"cytochrome P450, 2b9, phenobarbitol inducible, type a"
95/37	"Glucose transporter-1, erythrocyte  "	Glut1	M22998	Slc2a1 	"solute carrier family 2 (facilitated glucose transporter), member 1 "
95/38	"Glucose transporter-4, muscle and fat  "	Glut4	M23383	Slc2a4 	"solute carrier family 2 (facilitated glucose transporter), member 4 "
95/39	"Glucose transporter-1, erythrocyte  "	Glut1	M23384	Slc2a1 	"solute carrier family 2 (facilitated glucose transporter), member 1 "
95/40	Complement receptor spleen specific (partial cds) 	Crry	M23446	Crry	complement receptor related protein
95/41	Complement receptor related protein 	Crry	M23529	Crry 	complement receptor related protein
95/42	Calbindin 28K 	Calb1	M23663	Calb1 	calbindin-28K
95/43	Homeo box B5 	Hoxb5	M26283	Hoxb5 	homeo box B5
95/44	"Ribonuclease-1, pancreatic  "	Rib1	M27814	Rib1 	"ribonuclease 1, pancreatic"
95/45	Anti-oxidant protein 1 	Aop1	M28723	Aop1 	anti-oxidant protein 1
95/46	Brain-specific small nuclear RNA 	Bc1	M29340	Bc1 	brain cytoplasmic RNA 1
95/47	"Platelet derived growth factor, alpha  "	Pdgfa	M29464	Pdgfa 	"platelet derived growth factor, alpha"
